id,Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,14 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),14 Day Total Orders (#),14 Day Total Units (#),14 Day Conversion Rate,14 Day Advertised ASIN Units (#),14 Day Brand Halo ASIN Units (#),14 Day Advertised ASIN Sales ,14 Day Brand Halo ASIN Sales 
6419,2025-08-31,No Portfolio,INR,Fertilizer - 50ml_aquavit - B0D1Y3S2S7 - Generic - SP - Auto - SP - RCH1,Fertilizer - 50ml_aquavit - B0D1Y3S2S7 - Generic - SP - Auto - SP - RCH1,close-match,-,b0d1n6m293,21,1,0.04761905,7.61,7.61,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6420,2025-09-03,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0d1ng468d,1,1,1.0,1.73,1.73,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6421,2025-09-04,LOTUS SEEDS,INR,Lotus sedd -B0FHBG9M8X  - Generic - SP - Auto - SP-RCH1,Lotus sedd -B0FHBG9M8X  - Generic - SP - Auto - SP-RCH1,substitutes,-,b0d1ng468d,5,1,0.2,3.7,3.7,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6422,2025-08-31,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0d1nzbhy3,2,1,0.5,1.0,1.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6423,2025-09-01,No Portfolio,INR,BRAZIL WOOD - SP AUTO - SP-RCH1,BRAZIL WOOD - SP AUTO - SP-RCH1,complements,-,b0d1qvdyrj,1,1,1.0,2.99,2.99,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6424,2025-09-05,No Portfolio,INR,Small Broken heart_SP-Auto,Small Broken heart_SP-Auto,substitutes,-,b0d1rkgsqh,1,1,1.0,1.65,1.65,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6425,2025-09-03,No Portfolio,INR,SNAKE PLANT_SP-Auto - SP-RCH1,SNAKE PLANT_SP-Auto,substitutes,-,b0d1vsmb3s,7,1,0.1428571,2.27,2.27,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6426,2025-08-30,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0d1y3s2s7,22,1,0.04545455,2.2,2.2,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6427,2025-08-30,No Portfolio,INR,BRAZIL WOOD - SP AUTO - SP-RCH1,BRAZIL WOOD - SP AUTO - SP-RCH1,complements,-,b0d1y3s2s7,21,1,0.04761905,2.6,2.6,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6428,2025-09-02,No Portfolio,INR,BRAZIL WOOD - SP AUTO - SP-RCH1,BRAZIL WOOD - SP AUTO - SP-RCH1,complements,-,b0d1y3s2s7,15,1,0.06666667,2.6,2.6,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6429,2025-09-04,LOTUS SEEDS,INR,Lotus flower seeds-B0FBN52MFP-SP-Auto - SP-RCH1,Lotus flower seeds-B0FBN52MFP-SP-Auto - SP-RCH1,substitutes,-,b0d2p73cv5,1,1,1.0,1.0,1.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6430,2025-09-02,No Portfolio,INR,Lotus Seed - SP AUTO - SP-RCH1,Lotus Seed - SP AUTO - SP-RCH1,substitutes,-,b0d33q2rcx,1,1,1.0,1.0,1.0,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6431,2025-09-03,No Portfolio,INR,SNAKE PLANT_SP-Auto - SP-RCH1,SNAKE PLANT_SP-Auto,substitutes,-,b0d35g7qll,11,1,0.09090909,2.4,2.4,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
6432,2025-08-31,No Portfolio,INR,BRAZIL WOOD - SP AUTO - SP-RCH1,BRAZIL WOOD - SP AUTO - SP-RCH1,substitutes,-,b0d3jbtqqr,1,1,1.0,1.2,1.2,177.96,0.00674309,148.3,1,1,1.0,1,0,177.96,0.0
6433,2025-09-05,No Portfolio,INR,Birkin_phil_SP-Auto - SP-RCH1,Birkin_phil_SP-Auto,substitutes,-,b0d3ttnt84,2,1,0.5,2.49,2.49,0.0,,0.0,0,0,0.0,0,0,0.0,0.0
